,p_max,p_min,p_avg,p_std,p_var,p_mid,vx_max,vx_min,vx_avg,vx_std,vx_var,vx_mid,vy_max,vy_min,vy_avg,vy_std,vy_var,vy_mid
5_453,0.95627195,-1.2879144,-0.1333029,0.39131713,0.1531291,0.07985712,105.08105,0.0,68.30568,18.091333,327.29636,68.73216,65.15922,-14.045343,3.5118048,10.691741,114.313324,2.5139668
5_454,0.9888897,-1.4853209,-0.17011227,0.44846722,0.20112285,0.043571625,111.31089,-7.342406,65.967834,24.384045,594.5816,68.25727,67.58604,-22.37046,4.767523,12.448161,154.95673,3.1330533
5_455,0.9959167,-1.7488139,-0.15079682,0.45749956,0.20930585,0.08542924,115.55716,-1.332887,65.373405,22.881184,523.5486,68.40979,65.28854,-24.65354,3.9498498,12.445264,154.8846,2.45024
5_456,0.9952359,-1.3215164,-0.14597933,0.42536858,0.18093842,0.07949208,107.16295,-4.044392,67.688095,20.331425,413.36682,67.69315,80.16176,-19.588802,4.0880485,11.403853,130.04787,2.8910854
5_457,0.971698,-1.3585832,-0.1493778,0.43780544,0.1916736,0.09103719,106.370255,-2.0733058,67.54173,20.362514,414.632,68.26028,62.561493,-15.778092,3.8329995,11.738648,137.79587,1.8960954
5_458,0.986183,-1.4276944,-0.130029,0.39270005,0.15421332,0.069929846,108.825905,-3.1925433,68.441666,18.013054,324.47012,68.13074,73.47444,-17.28049,3.595316,10.5649805,111.61881,2.4106274
5_459,0.9917625,-1.4529815,-0.1457057,0.41848275,0.1751278,0.07405254,109.54064,-2.1265614,68.071144,19.569078,382.94885,67.95884,72.08279,-19.723682,3.953362,11.433651,130.72838,3.0073369
5_460,0.9970858,-1.6772367,-0.14443465,0.43045193,0.18528886,0.07200414,108.85111,-0.73951024,67.65486,20.375076,415.1437,67.19523,78.57532,-22.281082,3.837209,11.488714,131.99055,3.0286572
5_461,0.9938812,-1.5590657,-0.13658682,0.42569336,0.18121484,0.0662342,105.68993,-1.726262,67.26083,19.40437,376.52957,67.512024,78.744125,-17.858454,3.8747218,11.083717,122.84879,2.9634771
5_462,0.99778837,-1.6474667,-0.1717733,0.46608317,0.21723351,0.0202225,114.89256,-4.815449,65.37665,25.025436,626.27246,67.7273,67.03245,-23.066177,4.8446274,12.87819,165.84778,3.2395763
5_463,0.99090105,-1.3549526,-0.13223386,0.40561366,0.16452244,0.07879712,106.07095,-0.6370906,67.534035,19.048923,362.8615,68.25308,70.370285,-19.316875,3.746334,10.83132,117.31748,2.5763454
5_464,0.9880017,-1.7680905,-0.13202892,0.46154615,0.21302485,0.075664245,115.18087,0.0,66.882996,20.283213,411.40875,66.70013,75.11718,-16.832016,3.6390793,11.757582,138.24074,1.9352543
5_465,0.994449,-1.2393184,-0.14059658,0.3834292,0.14701794,0.060789805,100.69078,-1.3335359,67.395,19.881739,395.28354,69.21499,73.32974,-22.299381,3.84773,10.678234,114.02469,3.1965475
5_466,0.997787,-1.3302453,-0.15282263,0.4312677,0.18599184,0.033396278,101.904854,-6.9377394,66.03812,22.622532,511.77893,67.984436,73.1237,-23.950163,4.2577367,11.685106,136.5417,2.5251112
5_467,0.9855468,-1.1965277,-0.13953649,0.4152242,0.17241114,0.08090669,102.62993,-2.6449394,67.44784,19.530952,381.45813,67.89156,75.32162,-20.558449,3.9360862,11.09016,122.99166,2.9976332
5_468,0.9875573,-1.3043865,-0.13572635,0.3978304,0.15826902,0.05514153,105.90769,-2.9138813,67.845245,18.860178,355.7063,68.94438,71.59747,-18.722971,3.7237604,11.009484,121.20874,3.306644
5_469,0.988295,-1.3257203,-0.1451612,0.44667128,0.19951522,0.081258096,107.05947,-3.4475157,67.900246,19.94923,397.97177,66.81798,74.851616,-15.270875,3.9216552,11.667924,136.14044,2.9724393
5_470,0.9887861,-1.8741692,-0.12907737,0.45107082,0.20346488,0.053186342,117.89267,0.0,66.94673,19.957554,398.30396,67.2756,73.77282,-15.671302,3.5676928,11.771239,138.56207,1.7733934
5_471,0.9952631,-1.6149592,-0.14625238,0.41891372,0.17548871,0.04729674,112.85586,-0.48610973,66.93334,20.483622,419.57874,69.3443,64.34855,-21.277023,3.844363,11.771477,138.56766,2.9146261
